Defect ID,Date Recorded,Defect Description,Error-Prone Scenario Analysis,Human Error Modes,,
369,11/12/2025,"Built a for loop out of order: init; update; condition;,",Wrote the loop out of order,Perceptual confusions,,
370,11/12/2025,"Assign min to arr[0] which could be 0, causing an infinite loop","Broke the condition for finding a new min, which should be greater than 0 but less than min. ",Rule encoding deficiencies,,
371,11/12/2025,Checks if j and k are valid AFTER trying to index into their respective arrays ,If one of the array’s I’m trying to access is empty there will be an out of bounds error. ,Rule encoding deficiencies,,
372,11/12/2025,Didn’t construct a new array in the situation that we created a new place: creating an out of index error,"Looking over my code I forgot to confirm the situation in which I would need to return an array of size length+1.   In:[9] -> out: [1,0] ",Biased review,,
373,11/12/2025,"Checks for index == length NOT index == length -1, so code never terminates",Off by one error keeps code from terminating.,Rule encoding deficiencies,,
374,11/12/2025,For loop condition i < nums[i] doesn’t take maximum jump length,"Misunderstanding the specifications of the problem lead me to designing my for loop, leading to incorrect solutions. ",Lack of knowledge,,
375,11/12/2025,Loop does not update the value to stay right shifted ,Omitted updating the n variable.  ,Rule encoding deficiencies,,
376,11/12/2025,Failed to write zeroed indirect block to disk after initialization in AllocateNewBlock(),"Developer zeroed memory but forgot to persist changes, assuming later write would cover it. Created inconsistency if crash occurred",Applying “strong-but-now-wrong” rule,,
377,11/12/2025,"Used pageEnd - currentBuf instead of PAGE_SIZE - offsetInPage, causing conceptual miscalculation of bytes in page.",Misapplied arithmetic rule when calculating page range; assumed correct by intuition without verifying formula.,Rule encoding deficiencies,,
378,11/12/2025,"Seek validation prevented moving beyond EOF, disallowing valid file extension operations.",Misinterpreted requirements—treated EOF as hard limit instead of allowing extension for writes,Difficulties with exponential developments,,
379,11/12/2025,: Failed to check return value of AllocateNewBlock() before using blockInBuffer,Assumed allocation would always succeed; skipped validation in performance-optimized path.,Applying “strong-but-now-wrong” rule,,
380,11/12/2025,Did not clean up or roll back disk allocation if LoadIndSec() failed in AllocateNewBlock(),Focused only on success path; lacked awareness of rollback patterns in partial failures.,Lack of knowledge,,
381,11/12/2025,No upper-bound check for size parameter in toy_filesystem::Write(),Trusted syscall validation; overlooked defense-in-depth and input sanitization needs,Selectivity,,
382,11/12/2025,"Did not verify SUPABASE_KEY before creating database client, causing crash if environment variable missing.",Assumed configuration would always exist; skipped validation of required value.,Applying “strong-but-now-wrong” rule,,
383,11/12/2025," Inserted unescaped HTML into popup, allowing potential script injection.",Escaped template literals but not HTML; lacked awareness of XSS prevention,Selectivity,,
384,11/12/2025,"Passed empty list to .in_() query without checking if IDs existed, causing unnecessary DB query.",Followed “extract IDs ? query” routine without checking for empty results.,Applying “strong-but-now-wrong” rule,,
385,11/12/2025,"Used == instead of === for ProjectID comparison, causing type mismatch errors",: Relied on loose equality; failed to consider mixed string/number types,Rule encoding deficiencies,,
386,10/29/2025,"Needed to start with p and decrease it by d until it reaches m at which point it stays at m and does not decrease further in w hile-loop. Initially checked condition p >= m then you risk a case where p > m by less than d amount, so the decrement operation occurs and now p < m which is wrong. Instead I needed to check p >= m + d to ensure that p never goes below m ","Failed to consider all use cases, which led to a portion of the design being incomplete. ",Rule encoding deficiencies,,
387,11/1/2025,"Needed to dynamically allocate a buffer and return its size. I initially did char ** newline[size * 2]; but eventually realized I needed to be doing char ** newline = calloc(1, size * 2); ",Incorrect usage of dynamic memory allocation due to conceptual misunderstanding/lack of knowledge.,Lack of knowledge,,
388,11/1/2025,Tried to do size *= 2; but size is of type size_t *size so I needed to do size = *size * 2;,Incorrect usage of a data type due to conceptual misunderstanding/lack of knowledge.,Lack of knowledge,,
389,11/3/2025,"Used wrong buffer size, tried to write n + 1 bytes from a buffer of size n (happened multiple times) ",Incorrectly carried out the steps of the task due to limited working memory capacity.,Perceptual confusions,,
390,11/5/2025,"Used lseek(fd, -10, SEEK_END) to get 10 lines before the end of the file, which doesn’t work because the offset is in bytes not lines ",Forgot how the parameters of a function work and was not paying attention to what units were being used. ,Unknown,,
391,11/5/2025,Forgot how the parameters of a function work and was not paying attention to what units were being used. ,"Failed to consider all use cases, which led to a portion of the design being incomplete. ",Rule encoding deficiencies,,
392,11/5/2025,Opened a file stream without closing it,"The subtask (closing the file) does not directly affect the main task, so the final subtask was forgotten",Post-Completion Error,,
393,11/8/2025,"Consistently got a double free error, eventually realized it was because I was setting one pointer variable equal to another so when I freed the first one it freed both of them ",Incorrect usage of a pointer due to conceptual misunderstanding.,Lack of knowledge,,
394,11/8/2025,Used getuid() thinking it would return a username but it actually returned the UID number,Incorrect usage of a pointer due to conceptual misunderstanding.,Rule encoding deficiencies,,
395,11/9/2025,"Used an expression to find the new size of a dynamically allocated variable after subtracting leading and trailing whitespace, but miscalculated the expression by 1 because I forgot to leave space for the null terminator",Performed the e task of making an expression to find the size of a variable but forgot a step (leave 1 byte for the null terminator) and did not account for all parts needed.,Unknown,,
396,11/9/2025,"Copied and pasted code in one function to check return value of allocation, realized that I forgot to remove a line of code from the original after seeing an extra line in the pasted version, went back to that function to remove the line, returned to pasted code and, due to distraction, tried to allocate space for a variable when I actually had wanted to reallocate space for it as it had already been declared.","While performing a sequence of tasks, I remembered a small issue earlier and went back to fix it. Upon returning to the main task, I mixed up the steps and made a mistake on the current task.",Omissions following interruptions,,
397,11/10/2025,"Copied and pasted code from one function to check return value of allocation, but when I pasted it I got confused about which size I had wanted to use in the allocation because the copied one used a minimum size variable but the pasted one needed to use the maximum size variable","Performed task B, which was similar to task A. Followed the steps of A, forgetting to swap out a relevant step in task B, leading to task B being carried out incorrectly.",Perceptual confusions,,
398,10/28/2025,Forgot a return statement in non-void method ,N/A,Post-Completion Error,,
399,10/28/2025,Forgot to unlock mutex at end of function ,N/A,Omissions following interruptions,,
400,10/30/2025,"During debugging, overlooked the failing method entirely",N/A,Biased review,,
401,10/30/2025,Forgot a return statement in non-void method ,N/A,Post-Completion Error,,
402,11/4/2025,Accessed variables through setters rather than directly,N/A,Applying “strong-but-now-wrong” rule,,
403,11/4/2025,Mistook method FindByPid for FindByPPid ,N/A,Perceptual confusions,,
404,11/4/2025,Forgot a variable needed to be checked for NULL before being accessed,N/A,Applying “strong-but-now-wrong” rule,,
405,11/5/2025,Didn't understand where in memory data needed to be stored after a read,N/A,Lack of knowledge,,
406,11/5/2025,Forgot a return statement in non-void method ,N/A,Post-Completion Error,,
407,11/6/2025,Used the wrong variable for determining how many bytes should be read,N/A,Perceptual confusions,,
408,10/29/2025,"While solving the HackerRank  problem named “Halloween Sale”  using Java, attempted to use  ArrayList..removeFirst(), which  resulted in a compiler error.","I’m used to using the LinkedList  class which has the member  function removeFirst(). The  number of elements in an  ArrayList object is immutable  after instantiation.",Applying “strong-but-now-wrong” rule,,
409,11/5/2025,"While designing a solution for the  Kattis problem named “Candy  Factory”, failed to identify how my  solution was inefficient because I  was working off of a simple sample  solution and didn’t scale up to a  more general solution.","The sample test cases were much  simpler than what all of the test  cases used actually were.",Difficulties with exponential developments,,
410,11/11/2025,"While designing a solution for  “Champenrnowne Count” on  Kattis, failed to find a workaround  for the fact that the problem  required a way to divide two  numbers using a divisor that can’t  be stored in any of the data types  in Java.","Lacked schema (i.e. knowledge)  to assist me in solving this  problem.",Lack of knowledge,,
411,11/11/2025,"Using Java, attempted to call a  non-static private function from  main, a public static function.",Any function can be either static  (Rule X) or non-static (Rule ~X)..,Rule encoding deficiencies,,
412,11/11/2025,"While testing my solution for  “Hunt the Wumpus” on Kattis,  failed the first test case because I  introduced an off-by-one error.","I had to print the number of  moves m that it took to finish the  game, but I printed m-1. When the game was over, I  didn’t account for the final move  because I broke out of the game  loop before the line where the  move counter is incremented. This was an error introduced  while I was designing a solution  in pseudocode.",Post-Completion Error,,
413,11/11/2025,"While testing my solution for  “Hunt the Wumpus” on Kattis,  failed test case 2, which was  causing the program to get hung  up.",This was due to the fact I  misinterpreted the process  required to fill the 10x10 grid. The problem statement included  the following line: “The first  four distinct numbers generated  by [the seeding] process are the  locations of the four wumpuses.” I only filled the grid using the  first four generated numbers.  This resulted in the same grid  space being filled twice. I was  supposed to continue generating  numbers until the grid contained  4 wumpuses in distinct spaces. This error was introduced  because I failed to capture the  requirement while reading the  problem statement.,Selectivity,,
414,11/13/2025,Declared the main function incorrectly in Java as: … main[String() args]… Instead of correctly: … main (String[] args)…,"() and [] are similar in  appearance, thus were easy to  confuse. After I had started typing  “[String”, I automatically  typed ”(“ because in my mind I  knew that what went after  “String” had to be different than  what went before it. This was likely a double  occurrence of Perceptual  Confusion, where the first  instance triggered the second.",Perceptual confusions,,
415,11/4/2025,Tried to run a program from the wrong folder,"I hadn’t been keeping up with my Git pulls; as such, the folder the program lived in was different for me than it was for my peers, leading to the error.",Action deficiencies (NEW),,
416,11/4/2025,Forgot to change all function calls after changing a function’s name,"I changed the function name one day, stopped coding, and tried to run it on a following day. Due to the gap, I forgot I hadn’t changed the other function names.",Omissions following interruptions,,
417,11/4/2025,"Put delete statements too early in the code, thus deleting data that still needed to be used further on in the program","Usually, I delete all data when I’m done with it to keep code clean. In this case, I wasn’t actually done with the data, but I thought I was.",Applying “strong-but-now-wrong” rule,,
418,11/6/2025,"Missed a ‘t’ in a variable name, causing a variable not found error ","As a v a ria ble n a m e, ‘datas e t’ a n d ‘datase’ looked similar enough I didn’t catch the missing letter until I ran the code. ",Perceptual confusions,,
419,11/6/2025,"A t t e m p t e d t o u s e a P y t h o n p a c k a g e wit h o u t installin g it fir s","I t y pic ally c o d e in J a v a, w h e r e t h e ‘im p o r t’ statement is all that’s needed to get a package. Python (via Jupyter Notebook) requires you to install the package first. ",Applying “strong-but-now-wrong” rule,,
420,11/7/2025,"Ty p e d a ‘z’ instead of a ‘x’ in a variable name, causing a variable not found error","T h e ‘z’ a n d ‘x’ keys are next to each other on the keyboard, making it easy to mistype one over the other. ",Perceptual confusions,,
421,11/8/2025,A t t e m p t e d t o u s e a P y t h o n p a c k a g e f u n c tio n wit h o u t t h e r e s p e c tiv e p a c k a g e variable ([var].[fun]),N o t all functio n s r e q uir e a s p e cific v a ria ble t o c all t h e m; I didn’t think through that the given function did need it,Applying “strong-but-now-wrong” rule,,
422,11/8/2025,"Called the wrong function, unaware that it wouldn’t work with my data","The assignm e n t r e q uir e d m e t o c alc ula t e a giv e n v alu e t h a t I hadn’t worked with before; as such, I initially grabbed the wrong function for the calculation, and didn’t initially realize I had done so",Lack of knowledge,,
423,8-Nov,"A t t e m p t e d t o u s e a P y t h o n p a c k a g e f u n c tio n wit h o u t t h e r e s p e c tiv e p a c k a g e v a ria ble ( [ v a r ].[ f u n ] )",N o t all functio n s r e q uir e a s p e cific v a ria ble t o c all t h e m; I didn’t think through tha t t h e giv e n f u n c tio n did n e e d it. ,Applying “strong-but-now-wrong” rule,,
424,11/9/2025,"Ty p e d a ‘z’ instead of a ‘x’ in a variable name, causing a variable not found error","T h e ‘z’ a n d ‘x’ keys are next to each other on the keyboard, making it easy to mistype one over the other. ",Perceptual confusions,,
425,11/9/2025,"Ty p e d o u t  ‘Three’ instead of ‘Thr’ in a variable name, causing a variable not found error","I’m m o r e used to typing the full number name rather than the shortening of it, and defaulted to the full name rather than the variable shortening.",Applying “strong-but-now-wrong” rule,,
426,11/11/2025,Calling a helper method inside another method instead of outside of it.,Attention was given to the internal method logic and not its usage logic,Selectivity,,
427,11/11/2025,Accidentally swapping two test implementations in a benchmark.,Implementation A and B were completely interchangeable and mistakenly swapped. ,Perceptual confusions,,
428,11/11/2025,Using a method only available in Java 17+ in a Java 11 project ,Using a method only available in Java 17+ in a Java 11 project ,Lack of knowledge,,
429,11/11/2025,Using println instead of print.,I often use println and failed to make the check to realize the need for print instead. ,Double-capture slips,,
430,11/11/2025,Using modulus instead of logarithms for a tree structure.,Using modulus instead of logarithms for a tree structure.,Applying “strong-but-now-wrong” rule,,
431,11/11/2025,Misspelling a string when comparing with a variable. ,I misrepresented the spelling of the word.,Rule encoding deficiencies,,
432,11/11/2025,Out of memory error from allocating too many arrays. ,I was unaware of the side effects of my allocations upon the remainder of the system,Problems with complexity,,
433,11/10/2025,Using a colon instead of curly braces after an if statement. ,I mistook the python and java syntax.,Perceptual confusions,,
434,11/10/2025,Using a min sorting algorithm for a max-heap implementation. ,Attention was given to the heap-related logic and not the comparison operations.,Selectivity,,
435,11/10/2025,Forgetting to implement the test cases for a new method. ,Completing the implementation did not require the test case for the code to run.,Post-completion error,,
436,10/30/2025,Used justify-content  when align-items was  the correct style to  use in CSS,"I mistook justifycontent for alignitems because they  both center text, just  on different axes",Perceptual confusions,,
437,11/2/2025,"When trying to print an array in Java, I  used Python syntax: print(arr)","I have been coding in  Python more and  wanted to use that  same syntax for Java,  neglecting the fact  that Java requires  much different syntax  for arrays.",Applying “strong-but-now-wrong” rule,,
438,2-Nov,"When coding a for  loop in Java, I forgot  some syntax: for (i < arr.length) vs. for (int i = 0; i <  arr.length; i++)","Though the syntax  would not work for  any language I know,  from a human  perspective, it looks  like it would work, so  I mixed up the  syntax.",Perceptual confusions,,
439,11/3/2025,"When using the  Selenium library in  Python, I could not  navigate a website using Selenium as I  intended because I  am still learning the  relevant functions to  use.","I am not familiar with  Selenium and am still  learning, so I lack the  knowledge necessary  to navigate a website  and find different  HTML elements.",Lack of knowledge,,
440,11/5/2025,"When I tested my  program manually, it  passed all of the tests  I gave it, but it failed  the tests my professor  had because it had  test cases that I hadn't  considered.","I believed that I had  thoroughly tested my  code against all  possible inputs, but  that was not the case.",Biased review,,
441,11/7/2025,"I had to print a  comma after every  level of a binary tree  and mistakenly  printed one every 2k  instead of every 2^k.","I did not comprehend  that the function  required the use of  exponents because I  underestimated the  rate of change of the  index required to add  the commas.",Difficulties with exponential developments,,
442,11/9/2025,I focused on  debugging one of my functions when a  different function had the error I was trying  to fix,"I was focused on the  function that I  thought had the issue,  when really, another  function was the  cause for error.",Selectivity,,
443,11/9/2025,"A function required  modifying a local  variable and called  another function to do  so. However, that function did not take  any parameters (it  used a global  variable), so I  encountered an error  in not being able to  modify the correct  variable",N/A,Unknown,,
444,11/9/2025,"I initially tried using  quick sort because I  knew it was slower  than a heap (and we  had to analyze the  time complexities of  the functions we  used); however, the  implementation of  merge sort was better  suited for the  problem.","Because I knew that  quick sort had a  slower time  complexity than  heaps, I only thought  of using that  implementation for  the problem rather  than try another that  could be faster.",Confirmation bias,,
445,11/10/2025,"I was required to time  how long a function  took to run, but I forgot to do anything  with that time","Printing the time a  function took was the  last sub-goal of  timing a function,  and it was not  necessary in timing,  so I omitted it.",Post-completion error,,
446,11/2/2025,"While reading in a digital signature package in Java, I used sb.append(line).append (System.lineSeparator()) after each line was read. This added a trailing newline to the very  end of the package meaning an extra character was added to the message that needed  verification. This caused the Java Base64 decoder method to throw out an illegal argument  exception for the base64 character ‘a’. This was caused by the extra newline character  being appended to the message which was the last component of the package.","IF a task requires me to make sure im precise with bytes when reading in data WHEN in most cases I read data line by line and append a newline no matter what. AND the task looks similar to previous cases where I was reading in lines of data. THEN I will append a newline to every single line read in, not taking into account that same  pieces of data need a very precise amount of bytes",Applying “strong-but-now-wrong” rule,,
447,10/27/2025,Forgot to close Java FileWriter and FileReader streams before I implemented a try  block. The program did function but this is bad coding practice as it can introduce memory  issues or buffers may not get flushed causing data to be omitted.,"SUPPOSE The task is to open a filewriter and filereader, read and write all necessary data  and then close both file streams. IF Opening the file streams and reading/writing the data is the main subtask AND Closing the file streams is not necessary to opening the streams and reading/writing  the data THEN I omit closing the file streams, causing undefined behavior down the line",Post-completion error,,
448,11/6/2025,I accidentally compared strings using == instead of .equals() when parsing  commands that were being sent from the client to the server. This caused the program to  not respond to any commands being sent as they were not being recognized.,IF the task requires me to use .equals() to compare two strings WHEN == is also used to compare data AND .equals() and == do a similar task in comparing data THEN I mistakenly used the == operator to compare two strings,Perceptual confusions,,
449,10/26/2025,I incorrectly indexed into an array created by calling strtok. The result was that I got  an ArrayIndexOutOfBoundsException due to trying to access an array size + 1 element,IF the task requires me to iterate over an array of tokens generated by strtok. WHEN I incorrectly assume the array has more elements than it actually has. IF I apply a misremembered rule about array bounds. THEN I index beyond the last position of the array and cause an  ArrayIndexOutOfBoundsException.,Rule encoding deficiencies,,
450,11/9/2025,"I used only one BufferedReader readLine() to try and read in a message that  contained multiple lines. As a result, only one line of the message was read in, and the  digital certificate comparison would fail every time.",IF my task requires me to keep reading until all lines sent by the server are read. WHEN there exists a rule where I only read one line sent by the server as the server packet  often contains only one newline character per previous assignment specification. AND the task at hand is very similar to the one done in the previous assignment. THEN I tend to only read in a single line as I typically would expect from the previous  assignment.,Applying “strong-but-now-wrong” rule,,
451,11/9/2025,"Reused code from a previous assignment that would only open a preset file name  while the current assignment specification required that the program opened a file  specified by user input. File reader and buffered reader would open a global variable called  FILE_NAME which was specified as “Message.txt”.",IF the current task requires me to send a filename to the server and have the server open a  file with the specified name. WHEN there were multiple previous assignments where the filename was a set global  variable. AND I reuse code from the previous assignment to do the current task. THEN I tend to keep the global variable even though the assignment now requires me to  have the filename defined by the client.,Applying “strong-but-now-wrong” rule,,
452,10/27/2025,I forgot to call scanner.nextLine() after a scanner.nextInt() call which caused String  message = scanner.nextLine() to be empty and all subsequent parameters to have  incorrect input.,"IF my current task requires me to read in an integer followed by a line of text using scanner. WHEN I rely on a misremembered rule about how nextInt() does’t consume newline  characters. IF I assume that calling nextLine() immediately after my nextInt() call will read in my input  string. THEN the unconsumed newline character is read in instead, shifting subsequent inputs  and causing program failure due to invalid inputs",Rule encoding deficiencies,,
453,11/2/2025,"I failed to encode a byte array digital signature into a Base64 string in my  createPackage function and instead turned it into a normal string. This means that once  the string was passed into a function that would try to use Base64 to decode it, an illegal  argument exception would be thrown out and the program would fail","IF the task requires converting a byte array digital signature into a Base64 string. WHEN I rely on an incorrectly encoded rule for converting byte arrays into strings for  decoding. IF I assume turning the byte array into a normal string rather than a Base64 string will  produce a valid output. THEN the resulting string is not in Base64, causing a decoding failure in a different part of  the code.",Rule encoding deficiencies,,
454,10/19/2025,"I forgot break statements in a switch case for parsing user input. Once input was  given all cases would run and the program would break by immediately exiting due to the  last case being a call to quit the program.","IF the current task requires the rule of ending every case in a switch statement with a break  statement. WHEN there exists the rule for writing logic in if else blocks, which does not necessitate the  use of break statements. AND I use the rule for writing logic in if else blocks far more frequently. THEN I incorrectly retrieve the rule for writing logic in if else blocks, omitting the necessary  break statements",Applying “strong-but-now-wrong” rule,,
455,11/9/2025,While I was rewriting an if statement from if (response.equals(PRODUCE_MESSAGE)  to if (response.equals(GET_SIGNED) I was interrupted by one of my roommates knocking  on my door. Once I was finished talking to them I returned to my code and left the inside of  the if statement as GET_SIG which caused a compilation error when I tried to compile my  code,"IF the current task requires me to modify the condition of an if statement and then update  the code within the statement. WHEN I am interrupted while modifying the condition of the statement. THEN I omit a part of the modification, leaving the statement as GET_SIG resulting in a  compilation error.",Omissions following interruptions,,
456,11/1/2025,Didn’t used comprehension for loop after learning about it in python,"I wrote a for loop like I usually do, instead of applying the new rule I learned about",Applying “strong-but-now-wrong” rule,,
457,11/1/2025,"Added semicolon at the end of a line in python","In other languages like java and C, ; is required at the end of each line to run, in python it is not",Applying “strong-but-now-wrong” rule,,
458,11/1/2025,"Looped in a for loop one to many times, used <= instead of <","Off by one error, did an inclusive for loop instead of exclusive but quickly corrected it after running the program once",Perceptual confusions,,
459,11/7/2025,Problem with extending interfaces in Java and knowing when to make a function private vs public (interviewed),Didn’t have solid knowledge of Java’s access modifier rules and interface requirements,Lack of knowledge,,
460,11/7/2025,"Making sure to import/ reference other files correctly in Java to meet OOP requirements/ not get syntax errors (interviewed)",They were unfamiliar/ confused by how to reference other files in java,Lack of knowledge,,
461,11/3/2025,"When coding BFS in 405, used pop instead of popleft","The overall idea of popping off of the queue was correct, but needed to use popleft() for algorithm to work correctly",Perceptual confusions,,
462,11/3/2025,"BFS in 405, forgot to update the visited set, so code repeated infinitely","Focused on core traversal logic instead of the output at the end, leading to error",Selectivity,,
463,11/7/2025,U s e d & i n s t e a d o f & & fo r t h e l o g i c a l a n d o p e r a t o r i n j a v a. (interviewed),"B o t h r e p r e s e n t AN D , b u t & i s a b i t w i s e o p e r a t o r a n d & & i s t h e l o g i c a l AN D.",Perceptual confusions,,
464,11/7/2025,"U s e d = = i n j a v a fo r c o m p a r i s o n o f s t r i n g s i n s t e a d o f .equals() (interviewed)","A u t o m a t i c a l l y u s e = = fo r a c o m p a r i s o n , b u t d o e s n o t w o r k fo r c o m p a r i n g s t r i n g v a l u e s. == for string comparison works for python as well, so multiple way s t o g e t c o n fu s e d o n t h e ru l e w h e n j u m p i n g fr o m l a n g u a g e t o l a n g u a g e",Applying “strong-but-now-wrong” rule,,
465,11/7/2025,"D i d n ’ t i n i t i a l l y u s e a t ry c a t c h t o i n i t i a l i z e a s e t P a r s e ( ) o bj e c t i n j a v a ( i n t e r v i e w e d )",N e e d t h e t ry c a t c h t o t h r o w e x c e p t i o n fo r c o d e t o ru n w h e n u s i n g s e t P a r s e,Lack of knowledge,,
466,N/A,"Wrote cout >> result instead of cout << result in c++","<< and >> look similar, so I used the wrong one",Perceptual confusions,,
467,N/A,"Called c system call chdir with parameter ""~"" to switch to home directory.","Doesn't work because ""~"" is handled by shell, not system.",Applying “strong-but-now-wrong” rule,,
468,N/A,Forgot to close file,"Closing file is the last subtask, and is not necessary for completion of main task, so I forgot to do it.",Post-completion error,,
469,N/A,"Accessed first element of null terminated array ( args[0] ) without checking length first, causing segmentation fault when trying to compare string to null","I failed to consider the case that the array could be empty, so my code segfaulted.",Biased review,,
470,N/A,Forgot to check for null when using c functions getpwuid and getgrgid .,I didn't think that they could return null. I should have checked the man pages,Unknown,,
471,N/A,"Called execvp(arguments[0], &arguments[1]) instead of execvp(arguments[0], arguments)",I didn't know that the filename needed to be included when calling exec,Lack of knowledge,,
472,N/A,"Used args[0] instead of args[1] to refer to first argument after the command.",Forgot that args[0] was the command itsel,Unknown,,
473,N/A,"Used function min instead of minimum , leading to compile error.","min is used for 2 values, minimum for entire list",Rule encoding deficiencies,,
474,N/A,Used python float division / instead of integer division // causing RuntimeError when number was too large for a float.,"I thought / would work for large integers, but it casts to floats, so it doesn't work when the numbers are too large.",Unknown,,
475,N/A,Used c function time() instead of localtime() .,I didn't know which function to use because I don't have a lot of experience with c,Lack of knowledge,,
476,10/29/2025,Forgot semi-colo n after color definition in app.css after creating a new color definition underneat h and after checking for a semi-colo n and perceiving one to be there..,"def perceptual_confusion(A: obj, B: obj): If curr task requires obj A<app, func, loc>: When ?obj B<app, func, loc> AND {A.app ? B.app} >> ? OR {A.func ? B.func} >> ? OR {A.loc ? B.loc} >> ?: return f“tend to fetch {B} instead of {A}” else: return f”not a Perceptual confusions” perceptual_confusion(“ ”, “;“) -> “tend to fetch “;” instead of “ “”. I saw “;” at the end of the line instead of “ “ due to a similar function (in java “;” represents the end of a line, while in python “ “ represents the end of a line), thus the error.",Perceptual confusions,,
477,10/29/2025,Attempted to remove github.io website by archival of the repo.,def lack_of_knowledge(x: Rule): if current task requires x: if x does not exist: return f”tend to fail current task” else: return f”not lack of knowledge” lack_of_knowledge(“Cannot remove github website through archival of repo”) -> “tend to fail current task” I failed at the task of removing the website because I did not have the rule that the website could not be removed through archival of repo.,Lack of knowledge,,
478,10/30/2025,Image in website stretches/ squashes on mobile,def lack_of_knowledge(x: Rule): if current task requires x: if x does not exist: return f”tend to fail current task” else: return f”not lack of knowledge” lack_of_knowledge(“flexbox will stretch image”) -> “tend to fail current task” I failed at the task of adding a functioning image to the website because I did not have the rule that the flexbox would stretch the image.,Lack of knowledge,,
479,11/2/2025,Copy and pasted full racket list after an apostrophe when apostroph e was already copy/past ed.,"There doesn’t seem to be a pseudocode example for this one.  T h e t h i n g t h a t I f o r g o t w a s t h a t I a l r e a d y h a d a n a p o s t r o p h e i n m y c l i p b o a r d , s o I e r r o r e d i n t h a t I r e p l a c e d t e x t o n l y a f t e r a n a p o s t r o p h e i n s t e a d o f a l s o r e p l a c i n g t h e a p o s t r o p h e .",Forgetting something has been done,,
480,11/3/2025,Left a pa renthesi s at the end of a statement when editing large chunks of a racket testing program.,"d e f p e r c e p t u a l _ c o n f u s i o n ( A : o b j , B : o b j ) : I f c u r r t a s k r e q u i r e s o b j A < a p p , f u n c , l o c > : W h e n ? o b j B < a p p , f u n c , l o c > A N D { A . a p p ? B . a p p } > > ? O R { A . f u n c ? B . f u n c } > > ? O R { A . l o c ? B . l o c } > > ? : r e t u r n f “ t e n d t o f e t c h { B } i n s t e a d o f { A } ” e l s e : r e t u r n f ” n o t a p e r c e p t u a l c o n f u s i o n ” p e r c e p t u a l _ c o n f u s i o n ( “ ) ) ” , “ ) “ ) - > “ t e n d t o f e t c h “ ) ” i n s t e a d o f “ ) ) ” ” . I s a w “ ) ” i n s t e a d o f “ ) ) ” d u e t o a s i m i l a r a p p e a r a n c e , t h u s t h e e r r o r .",Perceptual confusions,,
481,11/5/2025,"Placed a period instead of a com ma in a n a rray.","d e f p e r c e p t u a l _ c o n f u s i o n ( A : o b j , B : o b j ) : I f c u r r t a s k r e q u i r e s o b j A < a p p , f u n c , l o c > : W h e n ? o b j B < a p p , f u n c , l o c > A N D { A . a p p ? B . a p p } > > ? O R { A . f u n c ? B . f u n c } > > ? O R { A . l o c ? B . l o c } > > ? : r e t u r n f “ t e n d t o f e t c h { B } i n s t e a d o f { A } ” e l s e : r e t u r n f ” n o t a p e r c e p t u a l c o n f u s i o n ” p e r c e p t u a l _ c o n f u s i o n ( “ , ” , “ . “ ) - > “ t e n d t o f e t c h “ . ” i n s t e a d o f “ , ” ” . I p r e s s e d “ . ” i n s t e a d o f “ , ” d u e t o a s i m i l a r l o c a t i o n o n t h e k e y b o a r d t h u s t h e e r r o r .",Perceptual confusions,,
482,11/5/2025,"Overwrote pyplot figure when attemptin g to plot different data results due to the assumptio n that the pyplot ax would exist as a local scope variable in the separate function call.","d e f r u l e _ e n c o d i n g _ d e f i c i e n c y ( x : R u l e ) : i f c u r r e n t t a s k r e q u i r e s x < f e a t u r e > : w h e n ? R u l e x? < f e a t u r e > : x . f e a t u r e - x? . f e a t u r e != ? i f u s e r u l e x? : r e t u r n f ” c o m m i t t e d e r r o r ” e l s e : r e t u r n f ” n o t r u l e - e n c o d i n g - d e f i c i e n c y ” r u l e _ e n c o d i n g _ d e f i c i e n c y ( “ p y p l o t a x e x i s t s o u t s i d e l o c a l s c o p e ” ) - > “ c o m m i t t e d e r r o r ” I h a d a s s u m e d t h a t p y p l o t a x w o u l d e x i s t o n l y w i t h i n l o c a l s c o p e , b u t t h i s w a s a w r o n g l y e n c o d e d r u l e w h e r e t h e f e a t u r e o f g l o b a l s c o p e w a s n o t e n c o d e d .",Applying “strong-but-now-wrong” rule,,
